PÉRIODE DE RÉFÉRENCE;GÉO;DGUID;Type de matières récupérées;Sources des matières préparées en vue du recyclage;UNITÉ DE MESURE;IDENTIFICATEUR D'UNITÉ DE MESURE;FACTEUR SCALAIRE;IDENTIFICATEUR SCALAIRE;VECTEUR;COORDONNÉES;VALEUR;STATUS;SYMBOLE;TERMINÉ;DÉCIMALES
2018;Canada;2021A000011124;Toutes les matières organiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315133;1.14.3;599976;;;;0
2018;Canada;2021A000011124;Déchets de nourriture et matières organiques séparées à la source;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588711;1.16.1;;..;;;0
2018;Canada;2021A000011124;Déchets de nourriture et matières organiques séparées à la source;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588712;1.16.2;;..;;;0
2018;Canada;2021A000011124;Déchets de nourriture et matières organiques séparées à la source;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588713;1.16.3;;..;;;0
2018;Canada;2021A000011124;Feuilles et résidus de jardin;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588714;1.17.1;;..;;;0
2018;Canada;2021A000011124;Feuilles et résidus de jardin;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588715;1.17.2;;..;;;0
2018;Canada;2021A000011124;Feuilles et résidus de jardin;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588716;1.17.3;;..;;;0
2018;Canada;2021A000011124;Autres matières organiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588717;1.18.1;;..;;;0
2018;Canada;2021A000011124;Autres matières organiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588718;1.18.2;;..;;;0
2018;Canada;2021A000011124;Autres matières organiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588719;1.18.3;;..;;;0
2018;Canada;2021A000011124;Autres matières;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315134;1.15.1;63973;;;;0
2018;Canada;2021A000011124;Autres matières;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315135;1.15.2;46485;;;;0
2018;Canada;2021A000011124;Autres matières;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315136;1.15.3;17488;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315137;2.1.1;41739;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315138;2.1.2;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315139;2.1.3;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les fibres de papier;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315140;2.2.1;28679;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les fibres de papier;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315141;2.2.2;13451;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les fibres de papier;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315142;2.2.3;15228;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Verre;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315143;2.3.1;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Verre;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315144;2.3.2;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Verre;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315145;2.3.3;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Métaux ferreux;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315146;2.4.1;534;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Métaux ferreux;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315147;2.4.2;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Métaux ferreux;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315148;2.4.3;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Cuivre et aluminium;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315149;2.5.1;106;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Cuivre et aluminium;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315150;2.5.2;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Cuivre et aluminium;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315151;2.5.3;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Métaux mélangés;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315152;2.6.1;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Métaux mélangés;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315153;2.6.2;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Métaux mélangés;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315154;2.6.3;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Électroménagers;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315155;2.7.1;1262;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Électroménagers;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315156;2.7.2;1262;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Électroménagers;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315157;2.7.3;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Matériel électronique;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315158;2.8.1;796;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Matériel électronique;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315159;2.8.2;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Matériel électronique;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315160;2.8.3;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Matières plastiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315161;2.9.1;1108;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Matières plastiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315162;2.9.2;987;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Matières plastiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315163;2.9.3;121;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Récipients triangulaires et aseptiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315164;2.10.1;543;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Récipients triangulaires et aseptiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315165;2.10.2;457;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Récipients triangulaires et aseptiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315166;2.10.3;86;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Textiles;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315167;2.11.1;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Textiles;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315168;2.11.2;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Textiles;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315169;2.11.3;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Pneus;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315170;2.12.1;5929;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Pneus;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315171;2.12.2;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Pneus;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315172;2.12.3;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Déchets provenant de la construction, de la rénovation et de la démolition;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315173;2.13.1;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Déchets provenant de la construction, de la rénovation et de la démolition;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315174;2.13.2;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Déchets provenant de la construction, de la rénovation et de la démolition;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315175;2.13.3;0;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières organiques;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1248315176;2.14.1;905;;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières organiques;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1248315177;2.14.2;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Toutes les matières organiques;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1248315178;2.14.3;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Déchets de nourriture et matières organiques séparées à la source;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588720;2.16.1;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Déchets de nourriture et matières organiques séparées à la source;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588721;2.16.2;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Déchets de nourriture et matières organiques séparées à la source;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588722;2.16.3;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Feuilles et résidus de jardin;Toutes les sources des matières récupérées;Tonnes;287;unités;0;v1586588723;2.17.1;;x;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Feuilles et résidus de jardin;Sources des matières résidentielles récupérées;Tonnes;287;unités;0;v1586588724;2.17.2;;..;;;0
2018;Terre-Neuve-et-Labrador;2021A000210;Feuilles et résidus de jardin;Sources des matières non résidentielles récupérées;Tonnes;287;unités;0;v1586588725;2.17.3;;..;;;0
