type_matiere
Toutes les matières
Toutes les fibres de papier
Verre
Métaux ferreux
Cuivre et aluminium
Métaux mélangés
Électroménagers
Matériel électronique
Matières plastiques
Récipients triangulaires et aseptiques
Textiles
Pneus
"Déchets provenant de la construction, de la rénovation et de la démolition"
Toutes les matières organiques
Déchets de nourriture et matières organiques séparées à la source
Feuilles et résidus de jardin
Autres matières organiques
Autres matières
