periode,geo,type_matiere,producteur,volume_tonnes
2022,Canada,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,16827.0
2018,Canada,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,3018.0
2020,Canada,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,2411.0
2022,Canada,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,2184.0
2018,Canada,Textiles,Toutes les sources des matières récupérées,58895.0
2020,Canada,Textiles,Toutes les sources des matières récupérées,62363.0
2022,Canada,Textiles,Toutes les sources des matières récupérées,66218.0
2018,Canada,Textiles,Sources des matières résidentielles récupérées,58407.0
2020,Canada,Textiles,Sources des matières résidentielles récupérées,61840.0
2022,Canada,Textiles,Sources des matières résidentielles récupérées,65818.0
2018,Canada,Textiles,Sources des matières non résidentielles récupérées,488.0
2020,Canada,Textiles,Sources des matières non résidentielles récupérées,523.0
2022,Canada,Textiles,Sources des matières non résidentielles récupérées,401.0
2018,Canada,Pneus,Toutes les sources des matières récupérées,487904.0
2020,Canada,Pneus,Toutes les sources des matières récupérées,430467.0
2022,Canada,Pneus,Toutes les sources des matières récupérées,419586.0
2018,Canada,Pneus,Sources des matières résidentielles récupérées,
2020,Canada,Pneus,Sources des matières résidentielles récupérées,
2022,Canada,Pneus,Sources des matières résidentielles récupérées,
2018,Canada,Pneus,Sources des matières non résidentielles récupérées,
2020,Canada,Pneus,Sources des matières non résidentielles récupérées,
2022,Canada,Pneus,Sources des matières non résidentielles récupérées,
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,722451.0
2020,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,750525.0
2022,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,757861.0
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,117626.0
2020,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,124613.0
2022,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,137667.0
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,604825.0
2020,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,625912.0
2022,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,620194.0
2018,Canada,Toutes les matières organiques,Toutes les sources des matières récupérées,2878960.0
2020,Canada,Toutes les matières organiques,Toutes les sources des matières récupérées,3152774.0
2022,Canada,Toutes les matières organiques,Toutes les sources des matières récupérées,3073921.0
2018,Canada,Toutes les matières organiques,Sources des matières résidentielles récupérées,2278984.0
2020,Canada,Toutes les matières organiques,Sources des matières résidentielles récupérées,2511704.0
2022,Canada,Toutes les matières organiques,Sources des matières résidentielles récupérées,2366630.0
2018,Canada,Toutes les matières organiques,Sources des matières non résidentielles récupérées,599976.0
2020,Canada,Toutes les matières organiques,Sources des matières non résidentielles récupérées,641070.0
2022,Canada,Toutes les matières organiques,Sources des matières non résidentielles récupérées,707291.0
2018,Canada,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,
2020,Canada,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,
2022,Canada,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,1582650.0
2018,Canada,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,
2020,Canada,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,
2022,Canada,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,1299011.0
2018,Canada,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,
2020,Canada,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,
2022,Canada,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,283639.0
2018,Canada,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,
2020,Canada,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,
2022,Canada,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,1143806.0
2018,Canada,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,
2020,Canada,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,
2022,Canada,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,955293.0
2018,Canada,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,
2020,Canada,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,
2022,Canada,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,188513.0
2018,Canada,Autres matières organiques,Toutes les sources des matières récupérées,
2020,Canada,Autres matières organiques,Toutes les sources des matières récupérées,
2022,Canada,Autres matières organiques,Toutes les sources des matières récupérées,347466.0
2018,Canada,Autres matières organiques,Sources des matières résidentielles récupérées,
2020,Canada,Autres matières organiques,Sources des matières résidentielles récupérées,
2022,Canada,Autres matières organiques,Sources des matières résidentielles récupérées,112326.0
2018,Canada,Autres matières organiques,Sources des matières non résidentielles récupérées,
2020,Canada,Autres matières organiques,Sources des matières non résidentielles récupérées,
2022,Canada,Autres matières organiques,Sources des matières non résidentielles récupérées,235140.0
2018,Canada,Autres matières,Toutes les sources des matières récupérées,63973.0
2020,Canada,Autres matières,Toutes les sources des matières récupérées,101985.0
2022,Canada,Autres matières,Toutes les sources des matières récupérées,46276.0
2018,Canada,Autres matières,Sources des matières résidentielles récupérées,46485.0
2020,Canada,Autres matières,Sources des matières résidentielles récupérées,79399.0
2022,Canada,Autres matières,Sources des matières résidentielles récupérées,34278.0
2018,Canada,Autres matières,Sources des matières non résidentielles récupérées,17488.0
2020,Canada,Autres matières,Sources des matières non résidentielles récupérées,22587.0
2022,Canada,Autres matières,Sources des matières non résidentielles récupérées,11997.0
2018,Terre-Neuve-et-Labrador,Toutes les matières,Toutes les sources des matières récupérées,41739.0
2020,Terre-Neuve-et-Labrador,Toutes les matières,Toutes les sources des matières récupérées,47283.0
2022,Terre-Neuve-et-Labrador,Toutes les matières,Toutes les sources des matières récupérées,46785.0
2018,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Toutes les sources des matières récupérées,28679.0
2020,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Toutes les sources des matières récupérées,27837.0
2022,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Toutes les sources des matières récupérées,26483.0
2018,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Sources des matières résidentielles récupérées,13451.0
2020,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Sources des matières résidentielles récupérées,14386.0
2022,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Sources des matières résidentielles récupérées,14153.0
2018,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Sources des matières non résidentielles récupérées,15228.0
2020,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Sources des matières non résidentielles récupérées,13451.0
2022,Terre-Neuve-et-Labrador,Toutes les fibres de papier,Sources des matières non résidentielles récupérées,12330.0
2018,Terre-Neuve-et-Labrador,Verre,Toutes les sources des matières récupérées,
2020,Terre-Neuve-et-Labrador,Verre,Toutes les sources des matières récupérées,
2022,Terre-Neuve-et-Labrador,Verre,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Verre,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Verre,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Verre,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Verre,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Verre,Sources des matières non résidentielles récupérées,
